Date/Time,Energy Produced (Wh)
2013-11-01,11811
2013-11-02,24954
2013-11-03,21471
2013-11-04,33192
2013-11-05,24309
2013-11-06,25395
2013-11-07,3934
2013-11-08,19952
2013-11-09,21951
2013-11-10,15188
2013-11-11,26138
2013-11-12,7059
2013-11-13,31980
2013-11-14,30810
2013-11-15,18445
2013-11-16,25906
2013-11-17,8087
2013-11-18,29281
2013-11-19,28323
2013-11-20,29772
2013-11-21,23374
2013-11-22,9763
2013-11-23,18749
2013-11-24,28946
2013-11-25,27676
2013-11-26,3725
2013-11-27,2290
2013-11-28,27871
2013-11-29,26269
2013-11-30,22180
2013-12-01,22450
2013-12-02,10463
2013-12-03,18468
2013-12-04,8612
2013-12-05,2940
2013-12-06,1694
2013-12-07,18671
2013-12-08,2192
2013-12-09,1446
2013-12-10,18
2013-12-11,6676
2013-12-12,20559
2013-12-13,20460
2013-12-14,2495
2013-12-15,13170
2013-12-16,21619
2013-12-17,656
2013-12-18,19165
2013-12-19,21411
2013-12-20,16841
2013-12-21,15131
2013-12-22,3947
2013-12-23,1333
2013-12-24,21021
2013-12-25,16536
2013-12-26,11092
2013-12-27,18575
2013-12-28,19385
2013-12-29,1275
2013-12-30,5929
2013-12-31,9775
2014-01-01,10907
2014-01-02,2019
2014-01-03,307
2014-01-04,550
2014-01-05,13
2014-01-06,6534
2014-01-07,28949
2014-01-08,24136
2014-01-09,27268
2014-01-10,2682
2014-01-11,1647
2014-01-12,16060
2014-01-13,23019
2014-01-14,1378
2014-01-15,17484
2014-01-16,7138
2014-01-17,27131
2014-01-18,11529
2014-01-19,17858
2014-01-20,9625
2014-01-21,572
2014-01-22,8951
2014-01-23,11335
2014-01-24,14941
2014-01-25,2347
2014-01-26,8837
2014-01-27,19709
2014-01-28,25467
2014-01-29,24309
2014-01-30,36559
2014-01-31,22406
2014-02-01,25357
2014-02-02,20496
2014-02-03,0
2014-02-04,220
2014-02-05,42
2014-02-06,9539
2014-02-07,40229
2014-02-08,19324
2014-02-09,22122
2014-02-10,36190
2014-02-11,45560
2014-02-12,31581
2014-02-13,977
2014-02-14,27509
2014-02-15,4474
2014-02-16,7716
2014-02-17,46397
2014-02-18,20815
2014-02-19,13888
2014-02-20,39018
2014-02-21,4883
2014-02-22,49143
2014-02-23,40686
2014-02-24,51799
2014-02-25,27501
2014-02-26,17185
2014-02-27,27453
2014-02-28,55104
2014-03-01,45009
2014-03-02,6301
2014-03-03,5392
2014-03-04,34934
2014-03-05,48867
2014-03-06,49023
2014-03-07,19218
2014-03-08,50264
2014-03-09,47865
2014-03-10,25900
2014-03-11,40448
2014-03-12,14809
2014-03-13,54378
2014-03-14,28947
2014-03-15,46700
2014-03-16,40073
2014-03-17,17207
2014-03-18,49512
2014-03-19,9678
2014-03-20,37444
2014-03-21,54750
2014-03-22,29907
2014-03-23,17128
2014-03-24,58352
2014-03-25,28487
2014-03-26,59803
2014-03-27,50966
2014-03-28,11829
2014-03-29,4665
2014-03-30,6334
2014-03-31,37236
2014-04-01,47282
2014-04-02,13833
2014-04-03,50029
2014-04-04,4185
2014-04-05,42414
2014-04-06,59562
2014-04-07,12460
2014-04-08,28631
2014-04-09,52102
2014-04-10,58379
2014-04-11,37954
2014-04-12,55596
2014-04-13,47028
2014-04-14,39973
2014-04-15,5378
2014-04-16,61708
2014-04-17,58175
2014-04-18,35961
2014-04-19,55346
2014-04-20,58068
2014-04-21,57489
2014-04-22,38181
2014-04-23,42560
2014-04-24,60856
2014-04-25,52973
2014-04-26,49281
2014-04-27,43589
2014-04-28,55198
2014-04-29,9342
2014-04-30,2791
2014-05-01,40750
2014-05-02,36588
2014-05-03,36296
2014-05-04,27402
2014-05-05,56367
2014-05-06,46681
2014-05-07,45934
2014-05-08,11419
2014-05-09,11874
2014-05-10,33359
2014-05-11,51601
2014-05-12,40938
2014-05-13,40344
2014-05-14,29272
2014-05-15,20672
2014-05-16,5601
2014-05-17,47359
2014-05-18,40458
2014-05-19,49294
2014-05-20,51746
2014-05-21,22906
2014-05-22,10871
2014-05-23,27030
2014-05-24,24702
2014-05-25,48145
2014-05-26,48598
2014-05-27,32092
2014-05-28,7176
2014-05-29,30282
2014-05-30,42813
2014-05-31,50755
2014-06-01,51100
2014-06-02,52349
2014-06-03,43537
2014-06-04,44628
2014-06-05,20769
2014-06-06,47520
2014-06-07,50139
2014-06-08,47241
2014-06-09,10187
2014-06-10,22231
2014-06-11,8688
2014-06-12,11311
2014-06-13,26803
2014-06-14,45343
2014-06-15,52524
2014-06-16,51626
2014-06-17,47319
2014-06-18,47759
2014-06-19,16324
2014-06-20,51767
2014-06-21,51468
